case,num_cores,makespan_noL2,makespan_L2,added_noL2,added_L2,cache_hit_rate,cache_speedup
case_010,4,25971,24926,635524,635524,0.2582,1.0419
case_010,5,24131,22007,670752,670752,0.3834,1.0965
case_011,1,184697,184697,0,0,0.0,1.0
case_011,2,92646,92646,180224,180224,0.0,1.0
case_011,3,66222,66222,2766848,2766848,0.3812,1.0
case_011,4,46880,46880,540672,540672,0.0,1.0
case_011,5,61363,43081,2985984,2985984,0.448,1.4244
case_012,1,59088,59088,0,0,0.0,1.0
case_012,2,21950,21950,0,0,0.0,1.0
case_012,3,19937,19484,258886,258886,0.2389,1.0232
case_012,4,15798,14808,185214,185214,0.1896,1.0669
case_012,5,15046,13281,182852,182852,0.2189,1.1329
case_013,1,263949,263949,0,0,0.0,1.0
case_013,2,132198,132198,8192,8192,0.0,1.0
case_013,3,88351,88351,16384,16384,0.0,1.0
case_013,4,66982,66982,24576,24576,0.0,1.0
case_013,5,54363,54363,32768,32768,0.0,1.0
case_014,1,17698626,17689602,71010720,71010720,0.1229,1.0005
case_014,2,8904271,8896369,76033440,76033440,0.1896,1.0009
case_014,3,5933771,5881266,80019536,80019536,0.3385,1.0089
case_014,4,4511152,4453421,87805200,87805200,0.3766,1.013
case_014,5,3752694,3709834,92875680,92875680,0.2721,1.0116
case_015,1,177362,177362,180256,180256,0.1693,1.0
case_015,2,83596,83405,191760,191760,0.0111,1.0023
case_015,3,58469,58467,1464888,1464888,0.4924,1.0
case_015,4,50844,46043,1871912,1871912,0.4278,1.1043
case_015,5,50296,42703,1650566,1650566,0.4649,1.1778
case_016,1,7715523,7715523,0,0,0.0,1.0
case_016,2,7715523,7715523,0,0,0.0,1.0
case_016,3,7717621,7717621,786440,786440,0.6111,1.0
case_016,4,6104382,6103967,35524768,35524768,0.0302,1.0001
case_016,5,7719719,7719719,1572880,1572880,0.7333,1.0
case_017,1,162810,162810,22528,22528,0.0404,1.0
case_017,2,71293,71293,81792,81792,0.0529,1.0
case_017,3,44420,44420,163584,163584,0.0934,1.0
case_017,4,35734,35734,240768,240768,0.1084,1.0
case_017,5,29386,29386,327168,327168,0.0891,1.0
case_018,1,1004367,1003110,1970176,1970176,0.3438,1.0013
case_018,2,505446,503076,3347456,3347456,0.5698,1.0047
case_018,3,338456,337587,3903872,3903872,0.591,1.0026
case_018,4,254778,252790,5118976,5118976,0.593,1.0079
case_018,5,204554,204343,3661824,3661824,0.4514,1.001
case_019,1,81144,81144,0,0,0.0,1.0
case_019,2,34656,34656,510500,510500,0.1249,1.0
case_019,3,27380,27321,685380,685380,0.2279,1.0022
case_019,4,23036,22501,752484,752484,0.2774,1.0238
case_019,5,19877,19699,644388,644388,0.3442,1.009
case_020,1,532746,532746,0,0,0.0,1.0
case_020,2,266580,266580,0,0,0.0,1.0
case_020,3,177950,177950,0,0,0.0,1.0
case_020,4,133704,133704,0,0,0.0,1.0
case_020,5,107574,107574,0,0,0.0,1.0
case_021,1,6567937,6558837,4501504,4501504,0.5006,1.0014
case_021,2,3194570,3193634,3174400,3174400,0.2178,1.0003
case_021,3,2144024,2142851,7766016,7766016,0.5459,1.0005
case_021,4,1550324,1550324,4608000,4608000,0.0,1.0
case_021,5,1250168,1249380,11431936,11431936,0.57,1.0006
case_022,1,56780,56780,0,0,0.0,1.0
case_022,2,27481,27481,0,0,0.0,1.0
case_022,3,19193,19192,112516,112516,0.3448,1.0001
case_022,4,14940,14940,0,0,0.0,1.0
case_022,5,12461,12434,157360,157360,0.4213,1.0022
case_023,1,122614,122614,0,0,0.0,1.0
case_023,2,41726,41726,73728,73728,0.0968,1.0
case_023,3,28284,28284,147456,147456,0.0845,1.0
case_023,4,30436,27929,1197318,1197318,0.3338,1.0898
case_023,5,25313,23629,976924,976924,0.2729,1.0713
case_024,1,2555343,2555343,0,0,0.0,1.0
case_024,2,2555343,2555343,0,0,0.0,1.0
case_024,3,2159403,2159126,22415452,22415452,0.0279,1.0001
case_024,4,2006540,2003351,29037088,29037088,0.0638,1.0016
case_024,5,1583680,1580984,31265516,31265516,0.0838,1.0017
case_025,1,4863026,4863026,0,0,0.0,1.0
case_025,2,2431840,2431840,27648,27648,0.0,1.0
case_025,3,1622164,1622164,55296,55296,0.0,1.0
case_025,4,1217444,1217444,82944,82944,0.0,1.0
case_025,5,975282,975282,110592,110592,0.0,1.0
