eval_problem,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path,proxy_fallback,case,problem,num_cores,mono_fix
2,capls,s14,14,0.11,0.148,True,22940,336400,336400.0,0.0,879748.0,,,678,82837,,3.61102877070619,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_006_p2_n5_capls_best.json,False,case_006,2,5,False
3,capls,c3,0,0.049,0.098,True,43776,76680,76680.0,0.0,620028.0,0.0808822073662467,49024.0,4,82837,,1.8922925804093567,"{""block_cap"": 0.35, ""init"": ""contig""}",True,results\plans\case_006_p3_n2_capls_best.json,False,case_006,3,2,False
3,capls,s5,5,0.08,0.129,True,26930,618368,618368.0,0.0,1161716.0,0.4342722271712876,472866.0,678,82837,,3.076011882658745,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_006_p3_n3_capls_best.json,False,case_006,3,3,False
3,capls,s9,9,0.099,0.136,True,25382,856926,856926.0,0.0,1400274.0,0.432280059975718,545470.0,678,82837,,3.2636120085099676,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_006_p3_n4_capls_best.json,False,case_006,3,4,False
3,capls,s1,1,0.109,0.171,True,22533,916100,916100.0,0.0,1459448.0,0.4157456472369417,549200.0,678,82837,,3.6762526072870902,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_006_p3_n5_capls_best.json,False,case_006,3,5,False
1,capls,c0,0,0.062,2.754,True,507494,27648,27648.0,0.0,1760256.0,,,2,1012562,,1.9952196479170197,"{""block_cap"": 0.35}",True,results\plans\case_007_p1_n2_capls_best.json,False,case_007,1,2,False
1,capls,c0,0,0.111,1.761,True,338094,55296,55296.0,0.0,1787904.0,,,3,1012562,,2.994912657426633,"{""block_cap"": 0.35}",True,results\plans\case_007_p1_n3_capls_best.json,False,case_007,1,3,False
1,capls,c0,0,0.13,1.49,True,254398,82944,82944.0,0.0,1815552.0,,,4,1012562,,3.980227831979811,"{""block_cap"": 0.35}",True,results\plans\case_007_p1_n4_capls_best.json,False,case_007,1,4,False
1,capls,c0,0,0.126,1.203,True,203834,110592,110592.0,0.0,1843200.0,,,5,1012562,,4.967581463347626,"{""block_cap"": 0.35}",True,results\plans\case_007_p1_n5_capls_best.json,False,case_007,1,5,False
2,capls,c0,0,0.131,1.018,True,507494,27648,27648.0,0.0,1760256.0,,,2,1012562,,1.9952196479170197,"{""block_cap"": 0.35}",True,results\plans\case_007_p2_n2_capls_best.json,False,case_007,2,2,False
2,capls,c0,0,0.114,0.624,True,338094,55296,55296.0,0.0,1787904.0,,,3,1012562,,2.994912657426633,"{""block_cap"": 0.35}",True,results\plans\case_007_p2_n3_capls_best.json,False,case_007,2,3,False
2,capls,c0,0,0.179,0.758,True,254398,82944,82944.0,0.0,1815552.0,,,4,1012562,,3.980227831979811,"{""block_cap"": 0.35}",True,results\plans\case_007_p2_n4_capls_best.json,False,case_007,2,4,False
2,capls,c0,0,0.233,0.605,True,203834,110592,110592.0,0.0,1843200.0,,,5,1012562,,4.967581463347626,"{""block_cap"": 0.35}",True,results\plans\case_007_p2_n5_capls_best.json,False,case_007,2,5,False
3,capls,c0,0,0.09,0.908,True,507494,27648,27648.0,0.0,1760256.0,0.0,0.0,2,1012562,,1.9952196479170197,"{""block_cap"": 0.35}",True,results\plans\case_007_p3_n2_capls_best.json,False,case_007,3,2,False
3,capls,c0,0,0.122,0.768,True,338094,55296,55296.0,0.0,1787904.0,0.0,0.0,3,1012562,,2.994912657426633,"{""block_cap"": 0.35}",True,results\plans\case_007_p3_n3_capls_best.json,False,case_007,3,3,False
3,capls,c0,0,0.152,0.651,True,254398,82944,82944.0,0.0,1815552.0,0.0,0.0,4,1012562,,3.980227831979811,"{""block_cap"": 0.35}",True,results\plans\case_007_p3_n4_capls_best.json,False,case_007,3,4,False
3,capls,c0,0,0.202,0.773,True,203834,110592,110592.0,0.0,1843200.0,0.0,0.0,5,1012562,,4.967581463347626,"{""block_cap"": 0.35}",True,results\plans\case_007_p3_n5_capls_best.json,False,case_007,3,5,False
1,capls,sa1,0,0.001,0.345,True,244163,1990656,1990656.0,0.0,4645080.0,,,3,487605,,1.997047054631537,"{""anneal"": true}",True,results\plans\case_008_p1_n2_capls_best.json,False,case_008,1,2,False
1,capls,sa1,0,0.001,0.284,True,163256,1327104,1327104.0,0.0,3981528.0,,,4,487605,,2.9867508697995784,"{""anneal"": true}",True,results\plans\case_008_p1_n3_capls_best.json,False,case_008,1,3,False
1,capls,sa1,0,0.001,0.279,True,122957,995328,995328.0,0.0,3649752.0,,,5,487605,,3.9656546597591027,"{""anneal"": true}",True,results\plans\case_008_p1_n4_capls_best.json,False,case_008,1,4,False
1,capls,sa3,0,0.0,0.251,True,100500,811008,811008.0,0.0,3465432.0,,,6,487605,,4.851791044776119,"{""anneal"": true}",True,results\plans\case_008_p1_n5_capls_best.json,False,case_008,1,5,False
2,capls,c14,0,0.074,0.145,True,155082,0,0.0,0.0,2654424.0,,,864,487605,,3.144175339497814,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_008_p2_n2_capls_best.json,False,case_008,2,2,False
2,capls,c14,0,0.077,0.188,True,110895,0,0.0,0.0,2654424.0,,,864,487605,,4.3969971594751796,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_008_p2_n3_capls_best.json,False,case_008,2,3,False
2,capls,c14,0,0.074,0.167,True,88500,0,0.0,0.0,2654424.0,,,864,487605,,5.509661016949153,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_008_p2_n4_capls_best.json,False,case_008,2,4,False
