case,problem,num_cores,makespan,speedup,added_copy_bytes,cache_hit_rate,n_subgraphs,plan
case_018,1,5,204554,4.91,3661824,,5,results\final_plans\p1\n5\case_018_multicore_res.json
case_018,2,2,503406,1.9951,3347456,,2,results\final_plans\p2\n2\case_018_multicore_res.json
case_018,2,3,338456,2.9675,3903872,,3,results\final_plans\p2\n3\case_018_multicore_res.json
case_018,2,4,254778,3.9421,5118976,,4,results\final_plans\p2\n4\case_018_multicore_res.json
case_018,2,5,204554,4.91,3661824,,5,results\final_plans\p2\n5\case_018_multicore_res.json
case_018,3,2,502856,1.9973,3347456,0.569827200199512,2,results\final_plans\p3\n2\case_018_multicore_res.json
case_018,3,3,337587,2.9751,3903872,0.5910180865239277,3,results\final_plans\p3\n3\case_018_multicore_res.json
case_018,3,4,252790,3.9731,5118976,0.5930485436198851,4,results\final_plans\p3\n4\case_018_multicore_res.json
case_018,3,5,204343,4.9151,3661824,0.4513502917543706,5,results\final_plans\p3\n5\case_018_multicore_res.json
case_019,1,2,41518,1.9544,0,,2,results\final_plans\p1\n2\case_019_multicore_res.json
case_019,1,3,30948,2.6219,251444,,6,results\final_plans\p1\n3\case_019_multicore_res.json
case_019,1,4,24099,3.3671,0,,4,results\final_plans\p1\n4\case_019_multicore_res.json
case_019,1,5,23617,3.4358,248220,,13,results\final_plans\p1\n5\case_019_multicore_res.json
case_019,2,2,40300,2.0135,510500,,16,results\final_plans\p2\n2\case_019_multicore_res.json
case_019,2,3,28114,2.8862,221216,,7,results\final_plans\p2\n3\case_019_multicore_res.json
case_019,2,4,23616,3.436,123400,,9,results\final_plans\p2\n4\case_019_multicore_res.json
case_019,2,5,20181,4.0208,403780,,13,results\final_plans\p2\n5\case_019_multicore_res.json
case_019,3,2,40287,2.0141,510500,0.12490775624344584,16,results\final_plans\p3\n2\case_019_multicore_res.json
case_019,3,3,28114,2.8862,221216,0.14736223139756358,7,results\final_plans\p3\n3\case_019_multicore_res.json
case_019,3,4,23575,3.442,123400,0.097141654894653,9,results\final_plans\p3\n4\case_019_multicore_res.json
case_019,3,5,20181,4.0208,403780,0.15819326637872716,13,results\final_plans\p3\n5\case_019_multicore_res.json
case_020,1,2,266580,1.9984,0,,2,results\final_plans\p1\n2\case_020_multicore_res.json
case_020,1,3,177950,2.9938,0,,3,results\final_plans\p1\n3\case_020_multicore_res.json
case_020,1,4,133704,3.9845,0,,4,results\final_plans\p1\n4\case_020_multicore_res.json
case_020,1,5,107574,4.9524,0,,5,results\final_plans\p1\n5\case_020_multicore_res.json
case_020,2,2,266580,1.9984,0,,2,results\final_plans\p2\n2\case_020_multicore_res.json
case_020,2,3,177950,2.9938,0,,3,results\final_plans\p2\n3\case_020_multicore_res.json
case_020,2,4,133704,3.9845,0,,4,results\final_plans\p2\n4\case_020_multicore_res.json
case_020,2,5,107574,4.9524,0,,5,results\final_plans\p2\n5\case_020_multicore_res.json
case_020,3,2,266580,1.9984,0,0.0,2,results\final_plans\p3\n2\case_020_multicore_res.json
case_020,3,3,177950,2.9938,0,0.0,3,results\final_plans\p3\n3\case_020_multicore_res.json
case_020,3,4,133704,3.9845,0,0.0,4,results\final_plans\p3\n4\case_020_multicore_res.json
case_020,3,5,107574,4.9524,0,0.0,5,results\final_plans\p3\n5\case_020_multicore_res.json
case_021,1,2,3102580,2.1169,6656000,,8,results\final_plans\p1\n2\case_021_multicore_res.json
case_021,1,3,2110025,3.1127,7229440,,6,results\final_plans\p1\n3\case_021_multicore_res.json
case_021,1,4,1550324,4.2365,4608000,,4,results\final_plans\p1\n4\case_021_multicore_res.json
case_021,1,5,1249504,5.2564,8908800,,20,results\final_plans\p1\n5\case_021_multicore_res.json
case_021,2,2,3194570,2.056,3174400,,2,results\final_plans\p2\n2\case_021_multicore_res.json
case_021,2,3,2104376,3.1211,7186432,,6,results\final_plans\p2\n3\case_021_multicore_res.json
case_021,2,4,1550324,4.2365,4608000,,4,results\final_plans\p2\n4\case_021_multicore_res.json
case_021,2,5,1250168,5.2536,11431936,,5,results\final_plans\p2\n5\case_021_multicore_res.json
case_021,3,2,3193634,2.0566,3174400,0.21777777777777776,2,results\final_plans\p3\n2\case_021_multicore_res.json
case_021,3,3,2103364,3.1226,7186432,0.4887063655030801,6,results\final_plans\p3\n3\case_021_multicore_res.json
case_021,3,4,1550324,4.2365,4608000,0.0,4,results\final_plans\p3\n4\case_021_multicore_res.json
case_021,3,5,1249380,5.257,11431936,0.5699643493761141,5,results\final_plans\p3\n5\case_021_multicore_res.json
case_022,1,2,28674,1.9802,0,,2,results\final_plans\p1\n2\case_022_multicore_res.json
case_022,1,3,19800,2.8677,0,,3,results\final_plans\p1\n3\case_022_multicore_res.json
case_022,1,4,14940,3.8005,0,,4,results\final_plans\p1\n4\case_022_multicore_res.json
case_022,1,5,14940,3.8005,0,,4,results\final_plans\p1\n5\case_022_multicore_res.json
