case,problem,num_cores,match,cli_makespan,expected_makespan,cli_added_copy_bytes,expected_added_copy_bytes,cli_hit_rate,expected_hit_rate,cli_seconds,error
case_035,1,4,True,105203,105203,1731896,1731896,,,1.0,
case_036,1,4,True,233584,233584,3456,3456,,,1.0,
case_037,1,4,True,53320,53320,614400,614400,,,0.3,
case_038,1,4,True,342469,342469,7945216,7945216,,,14.5,
case_039,1,4,True,379863,379863,11517952,11517952,,,11.5,
case_040,1,4,True,110202,110202,0,0,,,1.5,
case_041,1,4,True,1496957,1496957,38879232,38879232,,,274.0,
case_042,1,4,True,434592,434592,8503584,8503584,,,6.9,
case_043,1,4,True,242816,242816,4154484,4154484,,,2.3,
case_044,1,4,True,96401,96401,1283040,1283040,,,0.4,
case_045,1,4,True,31878,31878,0,0,,,0.4,
case_046,1,4,True,115384,115384,4554048,4554048,,,0.4,
case_047,1,4,True,144597,144597,2517116,2517116,,,2.9,
case_048,1,4,True,202773,202773,620994,620994,,,0.5,
case_049,1,4,True,78438,78438,978962,978962,,,1.0,
case_050,1,4,True,61002,61002,654496,654496,,,1.1,
case_051,1,4,True,533409,533409,16713772,16713772,,,0.7,
case_052,1,4,True,48113,48113,221184,221184,,,0.5,
case_053,1,4,True,556564,556564,11776336,11776336,,,5.5,
case_054,1,4,True,264500,264500,2551950,2551950,,,4.3,
case_055,1,4,True,31823,31823,115712,115712,,,0.5,
case_056,1,4,True,110892,110892,1490826,1490826,,,1.7,
case_057,1,4,True,22025,22025,180060,180060,,,0.3,
case_058,1,4,True,1154519,1154519,42622976,42622976,,,240.3,
case_059,1,4,True,185216,185216,1081344,1081344,,,0.9,
case_060,1,4,True,232939,232939,3217544,3217544,,,6.9,
case_061,1,4,True,28050,28050,164032,164032,,,0.5,
case_062,1,4,True,718373,718373,119808,119808,,,103.2,
case_063,1,4,True,271192,271192,104448,104448,,,5.0,
case_064,1,4,True,17646,17646,117382,117382,,,0.3,
case_065,1,4,True,13745,13745,41472,41472,,,0.3,
case_066,1,4,True,158070,158070,2396358,2396358,,,1.6,
case_067,1,4,True,17872457,17872457,256028288,256028288,,,10.7,
case_068,1,4,True,171012,171012,3075204,3075204,,,1.3,
case_069,1,4,True,18723,18723,173960,173960,,,0.3,
case_070,1,4,True,32371,32371,264192,264192,,,0.5,
case_071,1,4,True,13512,13512,220566,220566,,,0.3,
case_072,1,4,True,5935363,5935363,126956448,126956448,,,190.3,
case_073,1,4,True,3636147,3636147,136563328,136563328,,,2.6,
case_074,1,4,True,408750,408750,7819264,7819264,,,3.7,
case_075,1,4,True,483591,483591,5406232,5406232,,,1.6,
case_076,1,4,True,1533331,1533331,32051200,32051200,,,1377.5,
