case,problem,num_cores,label,feasible,makespan,added_copy_bytes,speedup,cached,is_champion,error
case_001,3,4,b_comm,True,58984,3456,3.9521,True,False,
case_001,3,4,b_random,True,161949,2514304,1.4394,True,False,
case_001,3,4,b_topo,True,65623,187776,3.5523,True,False,
case_001,3,4,c0,True,58984,3456,3.9521,True,False,
case_001,3,4,c1,True,58984,3456,3.9521,True,False,
case_001,3,4,c10,True,78545,2304,2.9679,True,False,
case_001,3,4,c11,True,58984,3456,3.9521,True,False,
case_001,3,4,c12,True,58984,3456,3.9521,True,False,
case_001,3,4,c13,True,58984,3456,3.9521,True,False,
case_001,3,4,c14,True,65608,3456,3.5531,True,False,
case_001,3,4,c15,True,67816,36224,3.4374,True,False,
case_001,3,4,c16,True,65608,3456,3.5531,True,False,
case_001,3,4,c17,True,65608,3456,3.5531,True,False,
case_001,3,4,c2,True,58984,3456,3.9521,True,False,
case_001,3,4,c3,True,58984,3456,3.9521,True,False,
case_001,3,4,c4,True,58984,3456,3.9521,True,False,
case_001,3,4,c5,True,58984,3456,3.9521,True,False,
case_001,3,4,c6,True,58984,3456,3.9521,True,False,
case_001,3,4,c7,True,58984,3456,3.9521,True,False,
case_001,3,4,c8,True,81577,1846656,2.8575,True,False,
case_001,3,4,c9,True,58984,3456,3.9521,True,False,
case_001,3,4,cross_from_p2,True,58984,3456,3.9521,True,False,
case_001,3,4,embed_n3,True,78545,2304,2.9679,True,False,
case_001,3,4,g_0.03,True,58984,3456,3.9521,True,False,
case_001,3,4,g_0.06,True,58984,3456,3.9521,True,False,
