case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_002,3,3,2,capls,c3,0,0.071,0.187,True,133216,23040,23040,0,1247232,0.0037267080745341614,4608,3,261945,,1.9663178597165505,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_002,3,3,2,capls,c4,0,0.073,0.207,True,235821,75264,75264,0,1299456,0.01090909090909091,13824,6,261945,,1.1107789382624957,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_002,3,3,2,capls,c5,0,0.076,0.171,True,231374,90624,90624,0,1314816,0.010843373493975903,13824,6,261945,,1.1321280697053255,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_002,3,3,2,capls,c6,0,0.065,0.237,True,132548,49152,49152,0,1273344,0.007361963190184049,9216,5,261945,,1.976227479856354,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",True,
case_002,3,3,2,capls,c7,0,0.066,0.277,True,137656,165888,165888,0,1390080,0.020954598370197905,27648,7,261945,,1.9028956238740047,"{""block_cap"": 0.08}",False,
case_002,3,3,2,capls,c8,0,0.14,0.464,True,142260,1164288,1164288,0,2388480,0.20335110434120335,410112,13,261945,,1.841311682834247,"{""block_cap"": 0.005}",False,
case_002,3,3,2,capls,c9,0,0.072,0.357,True,134536,75264,75264,0,1299456,0.01090909090909091,13824,8,261945,,1.9470253315097819,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_002,3,3,2,capls,c10,0,0.038,0.359,True,261945,0,0,0,1224192,0.0,0,1,261945,,1.0,"{""block_cap"": 0.35, ""cores_used"": 1}",False,
case_002,3,3,2,capls,c11,0,0.055,0.244,True,134572,75264,75264,0,1299456,0.01090909090909091,13824,6,261945,,1.9465044734417263,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_002,3,2,2,capls,_best,0,0.066,0.238,True,132666,49152,49152,0,1273344,,,5,261945,,1.9744697209533717,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",True,results\plans\case_002_p3_n2_capls_best.json
case_002,3,3,2,capls,_best,0,0.066,0.237,True,132548,49152,49152,0,1273344,0.007361963190184049,9216,5,261945,,1.976227479856354,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",True,results\plans\case_002_p3_n2_capls_best.json
case_004,3,3,4,capls,c0,0,0.089,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887,"{""block_cap"": 0.35}",True,
case_004,3,3,4,capls,c1,0,0.061,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887,"{""block_cap"": 0.15}",False,
case_004,3,3,4,capls,c2,0,0.061,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_004,3,3,4,capls,c3,0,0.071,0.101,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_004,3,3,4,capls,c4,0,0.065,0.132,True,104188,331776,331776,0,1124352,0.0,0,111,392357,,3.765855952700887,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_004,3,3,4,capls,c5,0,0.069,0.132,True,104188,331776,331776,0,1124352,0.0,0,111,392357,,3.765855952700887,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_004,3,3,4,capls,c6,0,0.05,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_004,3,3,4,capls,c7,0,0.048,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887,"{""block_cap"": 0.08}",False,
case_004,3,3,4,capls,c8,0,0.125,0.196,True,105938,3345408,3247104,98304,4137984,0.18012422360248448,445440,9,392357,,3.7036474164133737,"{""block_cap"": 0.005}",False,
case_004,3,3,4,capls,c9,0,0.051,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_004,3,3,4,capls,c10,0,0.036,0.122,True,134043,221184,221184,0,1013760,0.0,0,3,392357,,2.927098020784375,"{""block_cap"": 0.35, ""cores_used"": 3}",False,
case_004,3,3,4,capls,c11,0,0.05,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_004,3,2,4,capls,_best,0,0.065,0.075,True,104188,331776,331776,0,1124352,,,4,392357,,3.765855952700887,"{""block_cap"": 0.35}",True,results\plans\case_004_p3_n4_capls_best.json
case_004,3,3,4,capls,_best,0,0.065,0.094,True,104188,331776,331776,0,1124352,0.0,0,4,392357,,3.765855952700887,"{""block_cap"": 0.35}",True,results\plans\case_004_p3_n4_capls_best.json
