case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup
case_084,1,1,4,capls,0.25,0,0.234,18.116,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,1,1,4,capls,0.5,0,0.23,18.116,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,1,1,4,capls,1.0,0,0.271,18.116,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,1,1,4,capls,2.0,0,0.239,18.116,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_062,3,3,4,capls,0.03,0,1.693,5.438,True,735898,898560,898560,0,14300160,0.012892561983471074,179712,20,2854809,,3.879354203979356
case_062,3,3,4,capls,0.06,0,1.576,5.35,True,733573,506880,506880,0,13908480,0.007397444519166106,101376,18,2854809,,3.8916495018219046
case_062,3,3,4,capls,0.12,0,1.72,5.391,True,759344,213504,213504,0,13615104,0.0023852794184461607,32256,13,2854809,,3.7595727364672666
case_062,3,3,4,capls,0.25,0,0.844,4.807,True,718754,208896,208896,0,13610496,0.0017043517782070218,23040,13,2854809,,3.971886069503613
case_062,3,3,4,capls,0.5,0,0.896,4.601,True,717324,139776,139776,0,13541376,0.0017090121909536288,23040,13,2854809,,3.979804105257875
case_062,3,3,4,capls,1.0,0,0.852,5.331,True,716754,89088,89088,0,13490688,0.0006852444038373687,9216,9,2854809,,3.9829690521434133
case_062,3,3,4,capls,2.0,0,0.836,6.352,True,1429696,35328,35328,0,13436928,0.00034336728854297816,4608,3,2854809,,1.996794423429876
case_084,2,2,4,capls,0.03,0,0.349,4.163,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,2,2,4,capls,0.06,0,0.238,4.163,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,2,2,4,capls,0.12,0,0.236,4.163,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,2,2,4,capls,0.25,0,0.309,4.163,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,2,2,4,capls,0.5,0,0.228,4.163,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,2,2,4,capls,1.0,0,0.228,4.163,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,2,2,4,capls,2.0,0,0.228,4.163,True,629028,0,0,0,13236330,,,4,2507412,,3.986169137144928
case_084,3,3,4,capls,0.03,0,0.248,4.723,True,629028,0,0,0,13236330,0.0,0,4,2507412,,3.986169137144928
case_084,3,3,4,capls,0.06,0,0.297,4.723,True,629028,0,0,0,13236330,0.0,0,4,2507412,,3.986169137144928
case_084,3,3,4,capls,0.12,0,0.236,4.723,True,629028,0,0,0,13236330,0.0,0,4,2507412,,3.986169137144928
case_084,3,3,4,capls,0.25,0,0.235,4.723,True,629028,0,0,0,13236330,0.0,0,4,2507412,,3.986169137144928
case_084,3,3,4,capls,0.5,0,0.285,4.723,True,629028,0,0,0,13236330,0.0,0,4,2507412,,3.986169137144928
case_084,3,3,4,capls,1.0,0,0.235,4.723,True,629028,0,0,0,13236330,0.0,0,4,2507412,,3.986169137144928
case_084,3,3,4,capls,2.0,0,0.232,4.723,True,629028,0,0,0,13236330,0.0,0,4,2507412,,3.986169137144928
case_094,2,2,4,capls,0.03,0,0.123,0.129,True,36858,760420,760420,0,1287112,,,12,94892,,2.574529274512996
case_094,2,2,4,capls,0.06,0,0.101,0.104,True,37024,550976,550976,0,1077668,,,10,94892,,2.5629861711322386
case_094,2,2,4,capls,0.12,0,0.072,0.111,True,34462,538688,538688,0,1065380,,,11,94892,,2.7535256224246996
case_094,2,2,4,capls,0.25,0,0.07,0.119,True,32496,534592,534592,0,1061284,,,11,94892,,2.920113244707041
case_094,2,2,4,capls,0.5,0,0.026,0.105,True,27634,318816,318816,0,845508,,,4,94892,,3.4338857928638635
case_094,2,2,4,capls,1.0,0,0.027,0.105,True,27634,318816,318816,0,845508,,,4,94892,,3.4338857928638635
