case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_016,3,3,3,capls,c5,0,0.644,7.592,True,7803965,787128,787128,0,1180346,0.6109308845114729,720896,305,7715523,,0.9886670429711051,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_016,3,3,3,capls,c6,0,0.778,6.847,True,7818021,787240,787240,0,1180458,0.6109018924589764,720896,203,7715523,,0.9868895210181707,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_016,3,3,3,capls,c7,0,0.695,5.617,True,7803965,787128,787128,0,1180346,0.6109308845114729,720896,175,7715523,,0.9886670429711051,"{""block_cap"": 0.08}",False,
case_016,3,3,3,capls,c8,0,0.478,8.125,True,8017116,20778568,20778568,0,21171786,0.04984521797082173,557056,308,7715523,,0.9623813600801087,"{""block_cap"": 0.005}",False,
case_016,3,3,3,capls,c9,0,0.693,5.617,True,7803965,787128,787128,0,1180346,0.6109308845114729,720896,175,7715523,,0.9886670429711051,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_016,3,3,3,capls,c10,0,0.477,8.17,True,7781832,393740,393740,0,786958,0.4581806903319461,360448,132,7715523,,0.9914789987756096,"{""block_cap"": 0.35, ""cores_used"": 2}",False,
case_016,3,3,3,capls,c11,0,0.431,7.279,True,7869225,787648,787648,0,1180866,0.6107963018192664,720896,305,7715523,,0.9804679622199136,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_016,3,3,3,capls,c12,0,0.696,5.617,True,7803965,787128,787128,0,1180346,0.6109308845114729,720896,175,7715523,,0.9886670429711051,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_016,3,3,3,capls,c13,0,0.758,5.617,True,7803965,787128,787128,0,1180346,0.6109308845114729,720896,175,7715523,,0.9886670429711051,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_016,3,3,3,capls,c14,0,0.951,4.879,True,7813931,1770192,787128,983064,2163410,0.43127964353573495,720896,17995,7715523,,0.9874060828026252,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
