case,num_cores,makespan,official_hit_bytes,official_miss_bytes,hit_rate,hit_input_reuse,hit_spill_reload,hit_cross_core_mid,miss_first_miss,miss_oversize,miss_concurrent_first_read,miss_fifo_evicted
case_070,2,47580,38912,469010,0.07661018817849985,38912,0,0,419858,0,49152,0
case_071,2,11236,55302,256518,0.17735231864537232,55302,0,0,237990,0,18528,0
case_072,2,11841570,16678912,107615294,0.13418897418275474,16678912,0,0,11093006,0,8192,96514096
case_073,2,4197779,3720448,3882496,0.4893430755244284,3720448,0,0,3881344,0,1152,0
case_074,2,824879,3035136,7331868,0.2927688655275912,3035136,0,0,3776540,0,4096,3551232
case_075,2,670175,476166,2835462,0.1437860774217394,476166,0,0,2638726,0,196736,0
case_076,2,3065275,9779200,25691136,0.27570079967666505,9779200,0,0,4269056,0,89088,21332992
case_077,2,250735,57344,2141260,0.026082004763022353,57344,0,0,2141260,0,0,0
case_078,2,1022234,0,4395264,0.0,0,0,0,2246784,0,2148480,0
case_079,2,15159240,0,38424576,0.0,0,0,0,5812224,0,2162688,30449664
case_080,2,145674,1785856,2310144,0.436,1785856,0,0,1904640,0,270336,135168
case_081,2,76860,0,1044820,0.0,0,0,0,1044820,0,0,0
case_082,2,331832,221318,872198,0.20239118586284974,221318,0,0,872198,0,0,0
case_083,2,419453,930112,1184640,0.43982083951215084,930112,0,0,1184352,0,288,0
case_084,2,1255052,0,9927786,0.0,0,0,0,9927786,0,0,0
case_085,2,1503897,622636,3300620,0.15870389288896775,622636,0,0,3300486,0,128,6
case_086,2,62938,125190,517926,0.19466161625585432,125190,0,0,517830,0,96,0
case_087,2,1991129,2691072,11475932,0.18995350040135514,2691072,0,0,5918684,0,0,5557248
case_088,2,130606,665094,2022178,0.24749783423486718,665094,0,0,2021986,0,192,0
case_089,2,295144,0,641280,0.0,0,0,0,402560,0,238720,0
case_090,2,430364,862200,3859080,0.1826199674664498,862200,0,0,2572800,0,1286280,0
case_091,2,4563996,19861824,38788416,0.33864863980096244,19861824,0,0,6535680,0,0,32252736
case_092,2,1926278,1152,5277440,0.00021824001551928998,1152,0,0,4346464,0,930400,576
case_093,2,37827,0,581632,0.0,0,0,0,573440,0,8192,0
case_094,2,43154,87840,493856,0.15100671140939598,87840,0,0,475424,0,18432,0
case_095,2,1042890,0,8516508,0.0,0,0,0,8516508,0,0,0
case_096,2,40994,106304,228698,0.317323478665799,106304,0,0,210266,0,18432,0
case_097,2,5477830,921600,17674240,0.04955947136563876,921600,0,0,4579328,0,2555904,10539008
case_098,2,87088,229390,1063554,0.17741681000878615,229390,0,0,1063554,0,0,0
case_099,2,805721,4468736,5380352,0.45372079120422115,4468736,0,0,2533632,0,0,2846720
case_100,2,85674,301568,438316,0.40758821653124006,301568,0,0,438316,0,0,0
case_001,3,78545,0,822656,0.0,0,0,0,820352,0,2304,0
case_002,3,82329,18432,1287168,0.01411764705882353,18432,0,0,1277952,0,0,9216
case_003,3,251261,687372,2143756,0.2427908593323933,444556,0,242816,1792396,0,351360,0
case_004,3,130725,0,672768,0.0,0,0,0,451584,0,221184,0
case_005,3,38024,221004,576678,0.27705777490278083,106860,0,114144,510150,0,66528,0
case_006,3,26930,472866,616004,0.43427222717128766,472844,0,22,616004,0,0,0
case_007,3,338094,0,935424,0.0,0,0,0,880128,0,55296,0
case_008,3,110895,0,1990872,0.0,0,0,0,1990872,0,0,0
case_009,3,65976,270112,646062,0.2948260919868933,223788,0,46324,586126,0,59936,0
case_010,3,27337,146754,588446,0.19961099020674647,134464,0,12290,568862,0,19584,0
case_011,3,65543,575488,882688,0.3946629213483146,575488,0,0,823296,0,59392,0
case_012,3,18324,139158,496170,0.2190333182230281,139142,0,16,496170,0,0,0
case_013,3,88351,0,2039808,0.0,0,0,0,2023424,0,16384,0
case_014,3,5881266,30369840,59344948,0.3385154295855885,30369840,0,0,10102684,0,663168,48579096
case_015,3,58467,1098938,1132974,0.4923751474072455,1098900,0,38,1001902,0,131072,0
case_016,3,7715523,0,393216,0.0,0,0,0,393216,0,0,0
case_017,3,44420,65280,633422,0.0934303894936611,65280,0,0,535118,0,98304,0
case_018,3,337587,3248512,2247956,0.5910180865239277,3248512,0,0,1592596,0,8192,647168
case_019,3,27321,132416,448566,0.2279175602686486,101696,0,30720,432182,0,16384,0
case_020,3,177950,0,1179648,0.0,0,0,0,1179648,0,0,0
case_021,3,2103364,4386816,4589568,0.4887063655030801,4386816,0,0,2920448,0,0,1669120
case_022,3,19192,112412,213578,0.3448326635786374,112384,0,28,213578,0,0,0
case_023,3,28284,49152,532426,0.0845148888025338,49152,0,0,434122,0,98304,0
case_024,3,2159126,327880,11436902,0.027869619683560647,327680,0,200,11436902,0,0,0
case_025,3,1622164,0,4177920,0.0,0,0,0,4122624,0,55296,0
case_026,3,38423,386768,757198,0.3380939643311077,362192,0,24576,732622,0,24576,0
case_027,3,763896,1990656,4300800,0.31640625,1990656,0,0,3502080,0,83968,714752
case_028,3,13270473,4295664,7654800,0.35945583368143696,4295664,0,0,7653504,0,1296,0
