case,problem,eval_problem,num_cores,algorithm,variant,runtime_s,eval_s,feasible,makespan,added_copy_bytes,cache_hit_rate,baseline_makespan,n_subgraphs,error,speedup
case_015,1,1,4,ablation2,no_level_no_comm,0.121,0.238,True,190038,1410684,,177362,12,,0.9332975510161126
case_015,1,1,4,ablation2,max_ops500,0.113,0.346,True,62098,708948,,177362,8,,2.856162839382911
case_015,1,1,4,ablation2,lvl_alap,0.12,0.346,True,58808,1654584,,177362,8,,3.015950210855666
case_015,1,1,4,ablation2,lvl_compress,0.109,0.346,True,58808,1654584,,177362,8,,3.015950210855666
case_013,1,1,2,ablation2,full_c2,0.059,0.984,True,132198,8192,,263949,2,,1.9966187083011846
case_013,1,1,2,ablation2,no_comm,0.041,1.054,True,132198,8192,,263949,2,,1.9966187083011846
case_013,1,1,2,ablation2,no_sync,0.051,0.984,True,132198,8192,,263949,2,,1.9966187083011846
case_013,1,1,2,ablation2,no_localsearch,0.03,0.984,True,132198,8192,,263949,2,,1.9966187083011846
case_013,1,1,2,ablation2,no_level,0.059,1.06,True,186122,2007040,,263949,246,,1.418150460450672
case_013,1,1,2,ablation2,no_level_no_comm,0.036,0.597,True,133082,40960,,263949,6,,1.983356126298072
case_013,1,1,2,ablation2,max_ops500,0.063,0.726,True,132520,40960,,263949,4,,1.991767280410504
case_013,1,1,2,ablation2,lvl_alap,0.062,0.984,True,132198,8192,,263949,2,,1.9966187083011846
case_013,1,1,2,ablation2,lvl_compress,0.062,0.984,True,132198,8192,,263949,2,,1.9966187083011846
case_013,1,1,3,ablation2,full_c2,0.096,0.686,True,88351,16384,,263949,3,,2.98750438591527
case_013,1,1,3,ablation2,no_comm,0.057,0.823,True,90648,114688,,263949,6,,2.911801694466508
case_013,1,1,3,ablation2,no_sync,0.076,0.686,True,88351,16384,,263949,3,,2.98750438591527
case_013,1,1,3,ablation2,no_localsearch,0.036,0.686,True,88351,16384,,263949,3,,2.98750438591527
case_013,1,1,3,ablation2,no_level,0.111,0.883,True,132658,2007040,,263949,246,,1.9896953067285803
case_013,1,1,3,ablation2,no_level_no_comm,0.057,0.545,True,272921,147456,,263949,9,,0.9671260181517729
case_013,1,1,3,ablation2,max_ops500,0.097,0.697,True,88965,65536,,263949,6,,2.9668858539875234
case_013,1,1,3,ablation2,lvl_alap,0.099,0.686,True,88351,16384,,263949,3,,2.98750438591527
case_013,1,1,3,ablation2,lvl_compress,0.099,0.686,True,88351,16384,,263949,3,,2.98750438591527
case_015,1,1,5,ablation2,full_c2,0.117,0.268,True,62403,915844,,177362,10,,2.842203099209974
case_015,1,1,5,ablation2,no_comm,0.228,0.317,True,52716,1084290,,177362,11,,3.3644813718795055
case_015,1,1,5,ablation2,no_sync,0.111,0.268,True,62403,915844,,177362,10,,2.842203099209974
case_015,1,1,5,ablation2,no_localsearch,0.018,0.345,True,58667,1234084,,177362,11,,3.0231987318253872
case_015,1,1,5,ablation2,no_level,0.123,0.231,True,79617,1835688,,177362,78,,2.2276900661918937
case_015,1,1,5,ablation2,no_level_no_comm,0.228,0.225,True,193391,1638536,,177362,14,,0.9171161015765987
case_015,1,1,5,ablation2,max_ops500,0.127,0.268,True,62403,915844,,177362,10,,2.842203099209974
case_015,1,1,5,ablation2,lvl_alap,0.118,0.309,True,54436,1637708,,177362,10,,3.2581747373061942
case_015,1,1,5,ablation2,lvl_compress,0.122,0.309,True,54436,1637708,,177362,10,,3.2581747373061942
case_013,1,1,5,ablation2,full_c2,0.159,0.607,True,54363,32768,,263949,5,,4.855305998565201
case_013,1,1,5,ablation2,no_comm,0.093,0.647,True,56568,204800,,263949,10,,4.666047942299533
case_013,1,1,5,ablation2,no_sync,0.137,0.607,True,54363,32768,,263949,5,,4.855305998565201
case_013,1,1,5,ablation2,no_localsearch,0.028,0.607,True,54363,32768,,263949,5,,4.855305998565201
case_013,1,1,5,ablation2,no_level,0.166,1.018,True,102984,2007040,,263949,246,,2.563009787928222
case_013,1,1,5,ablation2,no_level_no_comm,0.091,0.527,True,279551,258048,,263949,15,,0.9441890746232351
case_013,1,1,5,ablation2,max_ops500,0.174,0.607,True,54363,32768,,263949,5,,4.855305998565201
case_013,1,1,5,ablation2,lvl_alap,0.177,0.607,True,54363,32768,,263949,5,,4.855305998565201
case_013,1,1,5,ablation2,lvl_compress,0.174,0.607,True,54363,32768,,263949,5,,4.855305998565201
case_009,1,1,4,ablation2,full_c2,0.571,1.393,True,89196,778468,,153261,98,,1.7182496972958428
case_009,1,1,4,ablation2,no_comm,0.409,2.082,True,125982,372222,,153261,12,,1.2165309329904272
case_009,1,1,4,ablation2,no_sync,0.424,1.393,True,89196,778468,,153261,98,,1.7182496972958428
case_009,1,1,4,ablation2,no_localsearch,0.107,1.718,True,91389,802780,,153261,100,,1.6770180218625874
case_009,1,1,4,ablation2,no_level,0.568,1.88,True,117488,982558,,153261,300,,1.304482159880158
case_009,1,1,4,ablation2,no_level_no_comm,0.287,1.439,True,163604,408768,,153261,12,,0.9367802743209213
case_009,1,1,4,ablation2,max_ops500,0.587,1.393,True,89196,778468,,153261,98,,1.7182496972958428
case_009,1,1,4,ablation2,lvl_alap,0.596,1.68,True,97707,2109590,,153261,100,,1.5685774816543339
case_009,1,1,4,ablation2,lvl_compress,0.603,1.68,True,97707,2109590,,153261,100,,1.5685774816543339
case_009,1,1,3,ablation2,full_c2,0.384,1.485,True,90469,668908,,153261,54,,1.6940720025644143
case_009,1,1,3,ablation2,no_comm,0.238,2.052,True,108397,222304,,153261,10,,1.413885993154792
case_009,1,1,3,ablation2,no_sync,0.332,1.538,True,114558,713138,,153261,68,,1.337846331116116
case_009,1,1,3,ablation2,no_localsearch,0.112,1.479,True,118429,704334,,153261,68,,1.2941171503601314
case_009,1,1,3,ablation2,no_level,0.405,2.007,True,123833,982558,,153261,300,,1.2376426316086988
case_009,1,1,3,ablation2,no_level_no_comm,0.238,1.487,True,164277,302998,,153261,9,,0.9329425299950693
case_009,1,1,3,ablation2,max_ops500,0.422,1.485,True,90469,668908,,153261,54,,1.6940720025644143
case_009,1,1,3,ablation2,lvl_alap,0.449,1.518,True,91925,1862630,,153261,54,,1.6672395974979604
case_009,1,1,3,ablation2,lvl_compress,0.429,1.518,True,91925,1862630,,153261,54,,1.6672395974979604
case_017,1,1,5,ablation2,full_c2,0.139,0.682,True,39459,327168,,162810,5,,4.1260548924199805
case_017,1,1,5,ablation2,no_comm,0.107,0.494,True,47139,696932,,162810,10,,3.453828040476039
case_017,1,1,5,ablation2,no_sync,0.12,0.682,True,39459,327168,,162810,5,,4.1260548924199805
case_017,1,1,5,ablation2,no_localsearch,0.022,0.484,True,35157,327168,,162810,5,,4.630941206587593
case_017,1,1,5,ablation2,no_level,0.129,0.418,True,46722,571392,,162810,54,,3.484653910363426
case_017,1,1,5,ablation2,no_level_no_comm,0.102,0.35,True,181484,738966,,162810,15,,0.8971038769257896
case_017,1,1,5,ablation2,max_ops500,0.12,0.682,True,39459,327168,,162810,5,,4.1260548924199805
case_017,1,1,5,ablation2,lvl_alap,0.127,0.682,True,39459,327168,,162810,5,,4.1260548924199805
case_017,1,1,5,ablation2,lvl_compress,0.123,0.682,True,39459,327168,,162810,5,,4.1260548924199805
case_017,1,1,3,ablation2,full_c2,0.094,0.568,True,60840,163584,,162810,3,,2.67603550295858
case_017,1,1,3,ablation2,no_comm,0.079,0.487,True,65763,438464,,162810,7,,2.4757082249897358
